NME_CONVOCATORIA	ANO_CONVO	COD_GRUPO_GR	NME_GRUPO_GR	FCREACION_GR	NME_MUNICIPIO_GR	NME_DEPARTAMENTO_GR	NME_PAIS_GR	NME_REGION_GR	COD_DANE_GR	ID_AREA_CON_GR	NME_AREA_GR	NME_GRAN_AREA_GR	NME_CLASIFICACION_GR	ORDEN_CLAS_GR	EDAD_ANOS_GR
Convocatoria 781 de 2017	1/01/2017	COL0024964	Solidos  Porosos y Calorimetría Aplicada	1/04/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1D	Ciencias químicas	Ciencias naturales	C	2	17
Convocatoria 781 de 2017	1/01/2017	COL0033103	Evolucion, sistematica y ecologia molecular	1/02/2001	Santa Marta	Magdalena	Colombia	Caribe	47001	1F	Ciencias biológicas	Ciencias naturales	A1	5	16
Convocatoria 781 de 2017	1/01/2017	COL0025881	Grupo de Investigaciones Andrés Bello del Semillero Rafael Wenceslao Núñez Moledo.	1/11/2004	Barranquilla	Atlántico	Colombia	Caribe	8001	5E	Derecho	Ciencias sociales	C	2	13
Convocatoria 781 de 2017	1/01/2017	COL0023976	GRUPO DE INVESTIGACIÓN EN DEMOGRAFIA, SALUD PUBLICA Y SISTEMAS DE SALUD - GUINDESS	1/05/2002	Bucaramanga	Santander	Colombia	Centro Oriente	68001	3C	Ciencias de la salud	Ciencias médicas y de la salud	A1	5	15
Convocatoria 781 de 2017	1/01/2017	COL0010655	Grupo de Limnología y Ecología Acuática	1/01/1990	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	A	4	27
Convocatoria 781 de 2017	1/01/2017	COL0093872	NATURA	1/12/2008	Cali	Valle del Cauca	Colombia	Pacífico	76001	1F	Ciencias biológicas	Ciencias naturales	A1	5	9
Convocatoria 781 de 2017	1/01/2017	COL0134198	EcoFiv: Grupo de Ecologia y Fisiologia Vegetal Uniandino	1/08/2012	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	B	3	5
Convocatoria 781 de 2017	1/01/2017	COL0143679	TAMASKAL	1/01/2013	Riohacha	La Guajira	Colombia	Caribe	44001	6E	Otras humanidades	Humanidades	B	3	4
Convocatoria 781 de 2017	1/01/2017	COL0015713	Estado, conflictos y paz	1/02/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5F	Ciencias políticas	Ciencias sociales	A1	5	17
Convocatoria 781 de 2017	1/01/2017	COL0019786	Física Aplicada y Desarrollo Tecnológico	1/06/1994	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1C	Ciencias físicas	Ciencias naturales	Reconocido	0	23
Convocatoria 781 de 2017	1/01/2017	COL0033032	División de Investigaciones FUCS	1/04/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3B	Medicina clínica	Ciencias médicas y de la salud	B	3	11
Convocatoria 781 de 2017	1/01/2017	COL0017413	PACA	1/04/2001	Neiva	Huila	Colombia	Centro Sur	41001	5C	Ciencias de la educación	Ciencias sociales	A	4	16
Convocatoria 781 de 2017	1/01/2017	COL0110982	INSTITUTO ALPINA	1/05/2010	Sopó	Cundinamarca	Colombia	Centro Oriente	25758	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	A	4	7
Convocatoria 781 de 2017	1/01/2017	COL0020319	Comité Interdisciplinario de Estudios Sobre Violencia, Subjetividad y Cultura	1/01/2004	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5D	Sociología	Ciencias sociales	A	4	13
Convocatoria 781 de 2017	1/01/2017	COL0105848	Ciencias de la Biodiversidad	1/05/2010	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	B	3	7
Convocatoria 781 de 2017	1/01/2017	COL0013586	Manejo integrado de plagas- Disciplina de Entomología	1/01/1990	Chinchiná	Caldas	Colombia	Eje Cafetero	17174	4A	Agricultura, silvicultura y pesca	Ciencias agrícolas	A1	5	27
Convocatoria 781 de 2017	1/01/2017	COL0114604	Grupo de Investigación en Mercadeo y Publicidad - GIMPU	1/01/2006	Cali	Valle del Cauca	Colombia	Pacífico	76001	5B	Economía y negocios	Ciencias sociales	B	3	11
Convocatoria 781 de 2017	1/01/2017	COL0012963	Laboratorio de Investigación en Fuentes Alternativas de Energía (LIFAE)	1/12/1997	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	A1	5	20
Convocatoria 781 de 2017	1/01/2017	COL0004166	Educación y desarrollo humano	1/06/2000	Cali	Valle del Cauca	Colombia	Pacífico	76001	5C	Ciencias de la educación	Ciencias sociales	A	4	17
Convocatoria 781 de 2017	1/01/2017	COL0104134	Cavendish	1/04/2008	Villavicencio	Meta	Colombia	Llano	50001	1C	Ciencias físicas	Ciencias naturales	C	2	9
Convocatoria 781 de 2017	1/01/2017	COL0116073	Grupo Interdisciplinario de Estudios Sociales - GIES	1/01/2009	Bello	Antioquia	Colombia	Eje Cafetero	5088	5I	Otras ciencias sociales	Ciencias sociales	B	3	8
Convocatoria 781 de 2017	1/01/2017	COL0015099	Programa de Estudio y Control de Enfermedades Tropicales	1/04/1986	Medellín	Antioquia	Colombia	Eje Cafetero	5001	3B	Medicina clínica	Ciencias médicas y de la salud	A1	5	31
Convocatoria 781 de 2017	1/01/2017	COL0058784	Grupo de Investigación Clínica en Enfermedades del Niño y del Adolescente - Pediaciencias	1/08/2001	Medellín	Antioquia	Colombia	Eje Cafetero	5001	3B	Medicina clínica	Ciencias médicas y de la salud	A1	5	16
Convocatoria 781 de 2017	1/01/2017	COL0007426	Grupo Icesi de Informática y Telecomunicaciones (i2T)	1/01/1999	Cali	Valle del Cauca	Colombia	Pacífico	76001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	B	3	18
Convocatoria 781 de 2017	1/01/2017	COL0074438	Comunicación - Cultura - Mediación	1/07/2007	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5H	Periodismo y comunicaciones	Ciencias sociales	B	3	10
Convocatoria 781 de 2017	1/01/2017	COL0010109	Grupo de Investigación en Percepción y Sistemas Inteligentes	1/03/1992	Cali	Valle del Cauca	Colombia	Pacífico	76001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	A1	5	25
Convocatoria 781 de 2017	1/01/2017	COL0005341	Física de Materiales	1/08/1999	Barranquilla	Atlántico	Colombia	Caribe	8001	1C	Ciencias físicas	Ciencias naturales	A	4	18
Convocatoria 781 de 2017	1/01/2017	COL0117052	Energia alternativa, Centro Multidisciplinario de Investigación	1/01/2008	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2C	Ingeniería mecánica	Ingeniería y tecnología	C	2	9
Convocatoria 781 de 2017	1/01/2017	COL0008334	Grupo Estudios del Territorio	1/06/1997	Medellín	Antioquia	Colombia	Eje Cafetero	5001	5I	Otras ciencias sociales	Ciencias sociales	A1	5	20
Convocatoria 781 de 2017	1/01/2017	COL0034889	Grupo de investigacion en Bioquímica y nutrición animal GIBNA	1/06/2003	Tunja	Boyacá	Colombia	Centro Oriente	15001	4C	Ciencias veterinarias	Ciencias agrícolas	B	3	14
Convocatoria 781 de 2017	1/01/2017	COL0104751	Grupo de Investigación en Desarrollo Socioempresarial (GIDSE)	1/12/2009	Ocaña	Norte de Santander	Colombia	Centro Oriente	54498	5B	Economía y negocios	Ciencias sociales	B	3	8
Convocatoria 781 de 2017	1/01/2017	COL0071712	GRUPO DE INVESTIGACIÓN EN NUTRICIÓN, SALUD Y CALIDAD ALIMENTARIA	1/02/2006	Cartagena de Indias	Bolívar	Colombia	Caribe	13001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	A	4	11
Convocatoria 781 de 2017	1/01/2017	COL0038262	Grupo de Fisica y Astrofisica Computacional (FACOM)	1/01/2005	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1C	Ciencias físicas	Ciencias naturales	A1	5	12
Convocatoria 781 de 2017	1/01/2017	COL0031762	Ética Empresarial y Empresariado Social-ETHOS	1/08/2002	Manizales	Caldas	Colombia	Eje Cafetero	17001	5B	Economía y negocios	Ciencias sociales	B	3	15
Convocatoria 781 de 2017	1/01/2017	COL0036286	Estética y Política	1/09/2002	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6E	Otras humanidades	Humanidades	A	4	15
Convocatoria 781 de 2017	1/01/2017	COL0148578	Grupo de investigación en Patología Clínica	1/01/2007	Medellín	Antioquia	Colombia	Eje Cafetero	5001	3B	Medicina clínica	Ciencias médicas y de la salud	Reconocido	0	10
Convocatoria 781 de 2017	1/01/2017	COL0043351	Big Data y Data Analytics	1/01/2003	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1B	Computación y ciencias de la información	Ciencias naturales	A	4	14
Convocatoria 781 de 2017	1/01/2017	COL0020339	Agua y Saneamiento	1/01/1999	Pereira	Risaralda	Colombia	Eje Cafetero	66001	2G	Ingeniería ambiental	Ingeniería y tecnología	A	4	18
Convocatoria 781 de 2017	1/01/2017	COL0057876	Bienestar,Trabajo, Cultura y Sociedad (BITACUS)	1/02/2003	Cali	Valle del Cauca	Colombia	Pacífico	76001	5A	Psicología	Ciencias sociales	A1	5	14
Convocatoria 781 de 2017	1/01/2017	COL0137799	"Grupo de estudios e investigación en Derecho Penal y Justicia Transicional ""Cesare Beccaria"""	1/01/2010	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5E	Derecho	Ciencias sociales	C	2	7
Convocatoria 781 de 2017	1/01/2017	COL0003937	ESTUDIOS SOBRE IDENTIDAD	1/01/2001	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6E	Otras humanidades	Humanidades	B	3	16
Convocatoria 781 de 2017	1/01/2017	COL0005879	GRUPO DE FISICA DE ALTAS ENERGIAS DE LA UNIVERSIDAD DE LOS ANDES	1/05/1988	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1C	Ciencias físicas	Ciencias naturales	A1	5	29
Convocatoria 781 de 2017	1/01/2017	COL0039976	Cuidado a la salud de los colectivos	1/02/2000	Cartagena de Indias	Bolívar	Colombia	Caribe	13001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	17
Convocatoria 781 de 2017	1/01/2017	COL0029512	Grupo de Investigación en Desarrollos Tecnologicos y Ambientales	1/06/2004	Manizales	Caldas	Colombia	Eje Cafetero	17001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	C	2	13
Convocatoria 781 de 2017	1/01/2017	COL0050329	Desarrollo Psicológico en Contextos 	1/05/2001	Cali	Valle del Cauca	Colombia	Pacífico	76001	5A	Psicología	Ciencias sociales	A	4	16
Convocatoria 781 de 2017	1/01/2017	COL0004854	Grupo de Investigación en Dirección y Gerencia	1/02/2001	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5B	Economía y negocios	Ciencias sociales	A1	5	16
Convocatoria 781 de 2017	1/01/2017	COL0090173	Materiales, asfaltos y mezclas asfálticas para pavimentos flexibles	1/12/1995	Piedecuesta	Santander	Colombia	Centro Oriente	68547	2A	Ingeniería civil	Ingeniería y tecnología	Reconocido	0	22
Convocatoria 781 de 2017	1/01/2017	COL0027769	Armonización y Valuación Contable	1/12/2003	Cali	Valle del Cauca	Colombia	Pacífico	76001	5B	Economía y negocios	Ciencias sociales	B	3	14
Convocatoria 781 de 2017	1/01/2017	COL0172214	CONOCIMIENTO E INNOVACIÓN SOCIAL QUETELET	1/01/2012	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5C	Ciencias de la educación	Ciencias sociales	A1	5	5
Convocatoria 781 de 2017	1/01/2017	COL0067881	Grupo de Investigación en Derecho y Acción Social (IDEAS)	1/01/1996	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5E	Derecho	Ciencias sociales	C	2	21
Convocatoria 781 de 2017	1/01/2017	COL0009977	Grupo de Investigación en Materiales y Estructuras de Construcción INME	1/01/1990	Bucaramanga	Santander	Colombia	Centro Oriente	68001	2A	Ingeniería civil	Ingeniería y tecnología	Reconocido	0	27
Convocatoria 781 de 2017	1/01/2017	COL0056242	INTAL	1/05/2002	Medellín	Antioquia	Colombia	Eje Cafetero	5001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	B	3	15
Convocatoria 781 de 2017	1/01/2017	COL0066893	Grupo de Investigación en Diseño Gráfico	1/07/2006	Medellín	Antioquia	Colombia	Eje Cafetero	5001	6D	Arte	Humanidades	C	2	11
Convocatoria 781 de 2017	1/01/2017	COL0004433	Estado y Sociedad del Caribe	1/01/1998	San Andrés	Archipiélago de San Andrés, Providencia y Santa Catalina	Colombia	Caribe	88001	5I	Otras ciencias sociales	Ciencias sociales	B	3	19
Convocatoria 781 de 2017	1/01/2017	COL0005815	GRUPO DE CRISTALOGRAFIA	1/01/1992	Cali	Valle del Cauca	Colombia	Pacífico	76001	1D	Ciencias químicas	Ciencias naturales	C	2	25
Convocatoria 781 de 2017	1/01/2017	COL0068789	Grupo de Investigación en Procesos Azucareros	1/03/1998	Cali	Valle del Cauca	Colombia	Pacífico	76001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	A	4	19
Convocatoria 781 de 2017	1/01/2017	COL0113124	Grupo de Investigación en Software Inteligente y Convergencia Tecnológica - GISIC	1/01/2010	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1B	Computación y ciencias de la información	Ciencias naturales	B	3	7
Convocatoria 781 de 2017	1/01/2017	COL0035743	Grupo de Investigación en Alimentación y Nutrición de Organismos Acuáticos - GRANAC	1/02/2006	Villavicencio	Meta	Colombia	Llano	50001	4A	Agricultura, silvicultura y pesca	Ciencias agrícolas	B	3	11
Convocatoria 781 de 2017	1/01/2017	COL0069106	Lingüística y educación 	1/01/2004	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6B	Idiomas y literatura	Humanidades	C	2	13
Convocatoria 781 de 2017	1/01/2017	COL0019909	Pedagogía y Didácticas de los Saberes	1/01/2002	Medellín	Antioquia	Colombia	Eje Cafetero	5001	5C	Ciencias de la educación	Ciencias sociales	A	4	15
Convocatoria 781 de 2017	1/01/2017	COL0010261	Grupo de Investigación en Relaciones Internacionales, América Latina e Integración	1/01/1997	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5F	Ciencias políticas	Ciencias sociales	A	4	20
Convocatoria 781 de 2017	1/01/2017	COL0128074	COLINNOVACION	1/01/2011	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	C	2	6
Convocatoria 781 de 2017	1/01/2017	COL0053133	Grupo de Investigación en  Biotecnologia Agroambiente y Salud-MICROBIOTA	1/09/2005	Bucaramanga	Santander	Colombia	Centro Oriente	68001	1F	Ciencias biológicas	Ciencias naturales	B	3	12
Convocatoria 781 de 2017	1/01/2017	COL0075435	Grupo de Investigación y Desarrollo en Aplicaciones Satelitales para el estudio de la Dinámica de la Tierra - ASEDT	1/04/2008	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1E	Ciencias de la tierra y medioambientales	Ciencias naturales	C	2	9
Convocatoria 781 de 2017	1/01/2017	COL0052341	Neurocognición	1/06/2006	Montería	Córdoba	Colombia	Caribe	23001	5A	Psicología	Ciencias sociales	C	2	11
Convocatoria 781 de 2017	1/01/2017	COL0007533	Grupo Materiales Compuestos	1/08/1984	Cali	Valle del Cauca	Colombia	Pacífico	76001	2E	Ingeniería de los materiales	Ingeniería y tecnología	A1	5	33
Convocatoria 781 de 2017	1/01/2017	COL0018179	FITOTECNIA TROPICAL	1/01/2000	Medellín	Antioquia	Colombia	Eje Cafetero	5001	4A	Agricultura, silvicultura y pesca	Ciencias agrícolas	C	2	17
Convocatoria 781 de 2017	1/01/2017	COL0021129	Pedagogía Urbana y Ambiental	1/08/1995	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5C	Ciencias de la educación	Ciencias sociales	A	4	22
Convocatoria 781 de 2017	1/01/2017	COL0050051	GINEYSA	1/05/2002	Cali	Valle del Cauca	Colombia	Pacífico	76001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	15
Convocatoria 781 de 2017	1/01/2017	COL0001656	CONFLICTO, APRENDIZAJE  Y TEORIA DE JUEGOS	1/03/1995	Cali	Valle del Cauca	Colombia	Pacífico	76001	5B	Economía y negocios	Ciencias sociales	B	3	22
Convocatoria 781 de 2017	1/01/2017	COL0071875	Grupo de Investigación en Diversidad Biológica	1/03/1998	Palmira	Valle del Cauca	Colombia	Pacífico	76520	1F	Ciencias biológicas	Ciencias naturales	A	4	19
Convocatoria 781 de 2017	1/01/2017	COL0014028	MEDI-CIENCIAS RESEARCH GROUP	1/07/1996	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3B	Medicina clínica	Ciencias médicas y de la salud	Reconocido	0	21
Convocatoria 781 de 2017	1/01/2017	COL0078811	BIOALIMENTOS	1/08/2007	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	A	4	10
Convocatoria 781 de 2017	1/01/2017	COL0030854	Reproducción y Mejoramiento en Animales Tropicales REMEAT	1/02/1995	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	4C	Ciencias veterinarias	Ciencias agrícolas	B	3	22
Convocatoria 781 de 2017	1/01/2017	COL0010609	Grupo de Investigación y Desarrollo en Electrónica y Telecomunicaciones (GIDET)	1/05/2000	Cúcuta	Norte de Santander	Colombia	Centro Oriente	54001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	B	3	17
Convocatoria 781 de 2017	1/01/2017	COL0004792	Etnología y Lingüistica Amazónicas	1/01/1996	Leticia	Amazonas	Colombia	Centro Sur	91001	5I	Otras ciencias sociales	Ciencias sociales	A	4	21
Convocatoria 781 de 2017	1/01/2017	COL0006714	Genética Molecular	1/01/1997	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	A	4	20
Convocatoria 781 de 2017	1/01/2017	COL0032554	Perspectivas del cuidado	1/10/2005	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	12
Convocatoria 781 de 2017	1/01/2017	COL0055129	Grupo de investigación y gestión sobre patrimonio	1/03/2002	Medellín	Antioquia	Colombia	Eje Cafetero	5001	5D	Sociología	Ciencias sociales	C	2	15
Convocatoria 781 de 2017	1/01/2017	COL0044985	ENLACE	1/07/2002	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5A	Psicología	Ciencias sociales	A	4	15
Convocatoria 781 de 2017	1/01/2017	COL0074901	Grupo de Investigación en Información, Conocimiento y Sociedad	1/01/1998	Medellín	Antioquia	Colombia	Eje Cafetero	5001	5H	Periodismo y comunicaciones	Ciencias sociales	B	3	19
Convocatoria 781 de 2017	1/01/2017	COL0043763	Urgencias y Cuidado crítico	1/07/2002	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	15
Convocatoria 781 de 2017	1/01/2017	COL0010799	Grupo de Optica y Tratamiento de Señales	1/01/1984	Bucaramanga	Santander	Colombia	Centro Oriente	68001	1C	Ciencias físicas	Ciencias naturales	A	4	33
Convocatoria 781 de 2017	1/01/2017	COL0007874	Grupo de Coloides	1/11/1999	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1D	Ciencias químicas	Ciencias naturales	A1	5	18
Convocatoria 781 de 2017	1/01/2017	COL0112922	Grupo de Investigación en Salud Pública, Educación y Profesionalismo (S.E.P.)	1/01/2010	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	7
Convocatoria 781 de 2017	1/01/2017	COL0010539	Grupo de Investigación sobre Desarrollo Regional y Ordenamiento Territorial	1/01/1993	Bucaramanga	Santander	Colombia	Centro Oriente	68001	5B	Economía y negocios	Ciencias sociales	B	3	24
Convocatoria 781 de 2017	1/01/2017	COL0143016	Grupo de Investigacion y Desarrollo en Microelectronica Aplicada	1/05/2013	Cúcuta	Norte de Santander	Colombia	Centro Oriente	54001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	C	2	4
Convocatoria 781 de 2017	1/01/2017	COL0023107	Propiedades Ópticas de Materiales	1/06/2002	Manizales	Caldas	Colombia	Eje Cafetero	17001	1C	Ciencias físicas	Ciencias naturales	A	4	15
Convocatoria 781 de 2017	1/01/2017	COL0159061	GEORIESGO	1/04/2012	Cali	Valle del Cauca	Colombia	Pacífico	76001	1E	Ciencias de la tierra y medioambientales	Ciencias naturales	C	2	5
Convocatoria 781 de 2017	1/01/2017	COL0003712	Grupo de Investigación en Música y Formación Musical (GRIM)	1/06/2005	Cali	Valle del Cauca	Colombia	Pacífico	76001	6D	Arte	Humanidades	C	2	12
Convocatoria 781 de 2017	1/01/2017	COL0069689	Síntesis y biosíntesis de metabolitos naturales	1/09/2006	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1D	Ciencias químicas	Ciencias naturales	B	3	11
Convocatoria 781 de 2017	1/01/2017	COL0011287	Grupo de Investigación en Filosofía y Teología crítica	1/08/2004	Medellín	Antioquia	Colombia	Eje Cafetero	5001	6E	Otras humanidades	Humanidades	B	3	13
Convocatoria 781 de 2017	1/01/2017	COL0028729	Democracia, Estado e Integración Social	1/08/2002	Cali	Valle del Cauca	Colombia	Pacífico	76001	5F	Ciencias políticas	Ciencias sociales	C	2	15
Convocatoria 781 de 2017	1/01/2017	COL0057704	Microbiodiversidad y Bioprospección	1/04/2006	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1F	Ciencias biológicas	Ciencias naturales	A	4	11
Convocatoria 781 de 2017	1/01/2017	COL0048759	Grupo Interinstitucional de Medicina Interna -GIMI1-	1/02/1999	Cali	Valle del Cauca	Colombia	Pacífico	76001	3B	Medicina clínica	Ciencias médicas y de la salud	B	3	18
Convocatoria 781 de 2017	1/01/2017	COL0160634	IDIMEC Iniciativa para el desarrollo y la investigación en Medicina de Emergencias en Colombia	1/01/2013	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3B	Medicina clínica	Ciencias médicas y de la salud	B	3	4
Convocatoria 781 de 2017	1/01/2017	COL0079256	EDUCACIÓN PARA EL BILINGÜISMO Y EL MULTILINGÜISMO	1/01/2004	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5C	Ciencias de la educación	Ciencias sociales	A1	5	13
Convocatoria 781 de 2017	1/01/2017	COL0070779	Cultura y Sociedad	1/01/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6E	Otras humanidades	Humanidades	C	2	11
Convocatoria 781 de 2017	1/01/2017	COL0150539	DICART	1/01/2014	Pereira	Risaralda	Colombia	Eje Cafetero	66001	6D	Arte	Humanidades	B	3	3
Convocatoria 781 de 2017	1/01/2017	COL0018528	Grupo de Investigación en Estadística y Matemáticas	1/01/2004	Manizales	Caldas	Colombia	Eje Cafetero	17001	1A	Matemática	Ciencias naturales	B	3	13
Convocatoria 781 de 2017	1/01/2017	COL0050196	Filosofía, Cultura y Globalización	1/01/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6E	Otras humanidades	Humanidades	A	4	17
Convocatoria 781 de 2017	1/01/2017	COL0110294	IDEAS	1/05/1998	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	C	2	19
Convocatoria 781 de 2017	1/01/2017	COL0002617	Cognición y Educación	1/09/2000	Manizales	Caldas	Colombia	Eje Cafetero	17001	5C	Ciencias de la educación	Ciencias sociales	A	4	17
Convocatoria 781 de 2017	1/01/2017	COL0085459	Mejoramiento Genético Vegetal, Uso y Aprovechamiento de la Agrobiodiversidad (MGVA)	1/01/2003	Mosquera	Cundinamarca	Colombia	Centro Oriente	25473	1F	Ciencias biológicas	Ciencias naturales	B	3	14
Convocatoria 781 de 2017	1/01/2017	COL0030961	Bioquimica y Biología Molecular	1/01/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	C	2	17
Convocatoria 781 de 2017	1/01/2017	COL0104349	GIGMA -  GRUPO DE INVESTIGACION EN GEOTECNIA Y MEDIO AMBIENTE	1/10/2009	Ocaña	Norte de Santander	Colombia	Centro Oriente	54498	2A	Ingeniería civil	Ingeniería y tecnología	C	2	8
Convocatoria 781 de 2017	1/01/2017	COL0169658	SANUS VIVENTIUM	1/01/2013	Barranquilla	Atlántico	Colombia	Caribe	8001	3C	Ciencias de la salud	Ciencias médicas y de la salud	B	3	4
Convocatoria 781 de 2017	1/01/2017	COL0004489	Estructuras y construcción	1/01/2002	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2A	Ingeniería civil	Ingeniería y tecnología	B	3	15
Convocatoria 781 de 2017	1/01/2017	COL0023635	COMPETITIVIDAD Y MERCADOS	1/01/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5B	Economía y negocios	Ciencias sociales	B	3	17
Convocatoria 781 de 2017	1/01/2017	COL0019697	Grupo de investigación en parasitología y microbiología tropical	1/01/1997	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	C	2	20
Convocatoria 781 de 2017	1/01/2017	COL0012883	LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)	1/06/1999	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	A1	5	18
Convocatoria 781 de 2017	1/01/2017	COL0124155	GREICAH -  Grupo en enfermedades infecciosas en cáncer y alteraciones hematológicas	1/01/2003	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3B	Medicina clínica	Ciencias médicas y de la salud	C	2	14
Convocatoria 781 de 2017	1/01/2017	COL0000505	Acuicultura Tropical	1/01/2006	Buenaventura	Valle del Cauca	Colombia	Pacífico	76109	4A	Agricultura, silvicultura y pesca	Ciencias agrícolas	C	2	11
Convocatoria 781 de 2017	1/01/2017	COL0027877	Centro Lasallista de Investigacion y Modelacion Ambiental CLIMA	1/06/2004	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2G	Ingeniería ambiental	Ingeniería y tecnología	B	3	13
Convocatoria 781 de 2017	1/01/2017	COL0080293	DISEÑO, PENSAMIENTO, CREACIÓN	1/03/2004	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6D	Arte	Humanidades	B	3	13
Convocatoria 781 de 2017	1/01/2017	COL0000748	BIOLOGIA, ECOLOGIA Y MANEJO DE HORMIGAS	1/01/1996	Cali	Valle del Cauca	Colombia	Pacífico	76001	1F	Ciencias biológicas	Ciencias naturales	A1	5	21
Convocatoria 781 de 2017	1/01/2017	COL0012444	Inmunovirología	1/06/1987	Medellín	Antioquia	Colombia	Eje Cafetero	5001	3A	Medicina básica	Ciencias médicas y de la salud	A1	5	30
