NME_CONVOCATORIA	ANO_CONVO	COD_GRUPO_GR	NME_GRUPO_GR	FCREACION_GR	NME_MUNICIPIO_GR	NME_DEPARTAMENTO_GR	NME_PAIS_GR	NME_REGION_GR	COD_DANE_GR	ID_AREA_CON_GR	NME_AREA_GR	NME_GRAN_AREA_GR	NME_CLASIFICACION_GR	ORDEN_CLAS_GR	EDAD_ANOS_GR
Convocatoria 781 de 2017	1/01/2017	COL0009583	Grupo de Investigación en Conectividad y Procesamiento de Señales - CPS	1/01/2002	Bucaramanga	Santander	Colombia	Centro Oriente	68001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	A	4	15
Convocatoria 781 de 2017	1/01/2017	COL0024623	Biotecnologia Vegetal	1/02/2003	Pamplona	Norte de Santander	Colombia	Centro Oriente	54518	1F	Ciencias biológicas	Ciencias naturales	C	2	14
Convocatoria 781 de 2017	1/01/2017	COL0059469	Derecho Internacional	1/01/2004	Chía	Cundinamarca	Colombia	Centro Oriente	25175	5E	Derecho	Ciencias sociales	B	3	13
Convocatoria 781 de 2017	1/01/2017	COL0003561	Didáctica y Nuevas Tecnologías	1/02/1993	Medellín	Antioquia	Colombia	Eje Cafetero	5001	5C	Ciencias de la educación	Ciencias sociales	B	3	24
Convocatoria 781 de 2017	1/01/2017	COL0005314	Física Radiológica	1/05/1998	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1C	Ciencias físicas	Ciencias naturales	B	3	19
Convocatoria 781 de 2017	1/01/2017	COL0083393	GIMACYR - Grupo de Investigación en Materiales y Recubrimientos Cerámicos	1/08/2008	Medellín	Antioquia	Colombia	Eje Cafetero	5001	2E	Ingeniería de los materiales	Ingeniería y tecnología	B	3	9
Convocatoria 781 de 2017	1/01/2017	COL0066679	PROCESOS AGROINDUSTRIALES Y DESARROLLO SOSTENIBLE (PADES)	1/01/2000	Sincelejo	Sucre	Colombia	Caribe	70001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	B	3	17
Convocatoria 781 de 2017	1/01/2017	COL0089397	Ecología de agroecosistemas y hábitats naturales (GEAHNA)	1/01/2009	Cali	Valle del Cauca	Colombia	Pacífico	76001	1F	Ciencias biológicas	Ciencias naturales	A1	5	8
Convocatoria 781 de 2017	1/01/2017	COL0040411	Grupo Colombiano de Análisis del Discurso Mediático	1/11/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6B	Idiomas y literatura	Humanidades	A	4	17
Convocatoria 781 de 2017	1/01/2017	COL0013666	Medios de Expresión y Comunicación	1/01/2000	Manizales	Caldas	Colombia	Eje Cafetero	17001	6D	Arte	Humanidades	C	2	17
Convocatoria 781 de 2017	1/01/2017	COL0054809	Grupo de Investigación en Conflictos y Organizaciones	1/01/2005	Cali	Valle del Cauca	Colombia	Pacífico	76001	5D	Sociología	Ciencias sociales	A1	5	12
Convocatoria 781 de 2017	1/01/2017	COL0079739	Estudios de la imagen	1/03/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6D	Arte	Humanidades	B	3	11
Convocatoria 781 de 2017	1/01/2017	COL0115746	Estudios de la Voz y la Palabra	1/02/2011	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6B	Idiomas y literatura	Humanidades	C	2	6
Convocatoria 781 de 2017	1/01/2017	COL0005412	GENETICA MOLECULAR HUMANA	1/01/1999	Cali	Valle del Cauca	Colombia	Pacífico	76001	1F	Ciencias biológicas	Ciencias naturales	A	4	18
Convocatoria 781 de 2017	1/01/2017	COL0070528	Epidemiologia y Evaluacion en Salud Publica	1/02/2007	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3C	Ciencias de la salud	Ciencias médicas y de la salud	A1	5	10
Convocatoria 781 de 2017	1/01/2017	COL0113839	Grupo de Investigación de Enfermería	1/07/2007	Barranquilla	Atlántico	Colombia	Caribe	8001	3C	Ciencias de la salud	Ciencias médicas y de la salud	C	2	10
Convocatoria 781 de 2017	1/01/2017	COL0068628	Grupo de Estudio en Derecho Privado y Propiedad Intelectual	1/05/2007	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5E	Derecho	Ciencias sociales	C	2	10
Convocatoria 781 de 2017	1/01/2017	COL0008826	Grupo de Investigaciones Entomológicas	1/06/1998	Cali	Valle del Cauca	Colombia	Pacífico	76001	1F	Ciencias biológicas	Ciencias naturales	A1	5	19
Convocatoria 781 de 2017	1/01/2017	COL0089529	ONCOHEMATOLOGIA PEDIATRICA	1/07/2007	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3B	Medicina clínica	Ciencias médicas y de la salud	A	4	10
Convocatoria 781 de 2017	1/01/2017	COL0031047	Patología Veterinaria	1/03/2002	Manizales	Caldas	Colombia	Eje Cafetero	17001	4C	Ciencias veterinarias	Ciencias agrícolas	B	3	15
Convocatoria 781 de 2017	1/01/2017	COL0028059	GIA (GRUPO DE INVESTIGACIÓN AGROINDUSTRIAL).	1/07/2002	Barranquilla	Atlántico	Colombia	Caribe	8001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	C	2	15
Convocatoria 781 de 2017	1/01/2017	COL0184162	Observatorio Nacional de Salud	1/05/2013	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3C	Ciencias de la salud	Ciencias médicas y de la salud	C	2	4
Convocatoria 781 de 2017	1/01/2017	COL0021461	Grupo de Investigación en Microbiología Veterinaria	1/01/2007	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1F	Ciencias biológicas	Ciencias naturales	C	2	10
Convocatoria 781 de 2017	1/01/2017	COL0008675	Grupo de Investigacion Fitoquimica Universidad del Magdalena	1/01/2002	Santa Marta	Magdalena	Colombia	Caribe	47001	1D	Ciencias químicas	Ciencias naturales	C	2	15
Convocatoria 781 de 2017	1/01/2017	COL0010154	Grupo de Investigación en Promoción de la Salud - Promesa	1/12/2000	Cali	Valle del Cauca	Colombia	Pacífico	76001	3C	Ciencias de la salud	Ciencias médicas y de la salud	A	4	17
Convocatoria 781 de 2017	1/01/2017	COL0001191	Centro de Estudios Psicologicos y Pedagógicos  Universidad Metropolitana	1/01/2001	Barranquilla	Atlántico	Colombia	Caribe	8001	5A	Psicología	Ciencias sociales	B	3	16
Convocatoria 781 de 2017	1/01/2017	COL0022262	Series de Tiempo	1/01/1992	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1A	Matemática	Ciencias naturales	B	3	25
Convocatoria 781 de 2017	1/01/2017	COL0015329	QUIMICA DE PLANTAS COLOMBIANAS	1/01/1991	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1D	Ciencias químicas	Ciencias naturales	C	2	26
Convocatoria 781 de 2017	1/01/2017	COL0020329	GRESIA Grupo de Investigacion en Recursos, Ecologìa, Desarrollo Sostenible e Ingenieria Ambiental	1/07/2002	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	2G	Ingeniería ambiental	Ingeniería y tecnología	A	4	15
Convocatoria 781 de 2017	1/01/2017	COL0044878	El método analítico y sus aplicaciones en las ciencias sociales y humanas	1/06/2004	Medellín	Antioquia	Colombia	Eje Cafetero	5001	5A	Psicología	Ciencias sociales	A1	5	13
Convocatoria 781 de 2017	1/01/2017	COL0049631	Currículo, Universidad y Sociedad	1/07/2000	Ibagué	Tolima	Colombia	Centro Sur	73001	5C	Ciencias de la educación	Ciencias sociales	A	4	17
Convocatoria 781 de 2017	1/01/2017	COL0029405	Estudios de Familias, Masculinidades y Feminidades	1/03/1999	Cartagena de Indias	Bolívar	Colombia	Caribe	13001	5D	Sociología	Ciencias sociales	B	3	18
Convocatoria 781 de 2017	1/01/2017	COL0041169	GRUPO DE INVESTIGACIÓN Y DESARROLLO TECNOLÓGICO EN ACUICULTURA	1/02/2005	Santa Marta	Magdalena	Colombia	Caribe	47001	1F	Ciencias biológicas	Ciencias naturales	C	2	12
Convocatoria 781 de 2017	1/01/2017	COL0011812	GRUPO INVESTIGACIÓN EN PROCESOS PSICOSOCIALES	1/01/2003	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5C	Ciencias de la educación	Ciencias sociales	C	2	14
Convocatoria 781 de 2017	1/01/2017	COL0009189	"Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento ""GICOGE"""	1/11/2001	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1B	Computación y ciencias de la información	Ciencias naturales	A	4	16
Convocatoria 781 de 2017	1/01/2017	COL0033201	Grupo de Investigación en Riesgos, Amenazas y Medio Ambiente GRAMA	1/09/2004	Pasto	Nariño	Colombia	Pacífico	52001	2A	Ingeniería civil	Ingeniería y tecnología	C	2	13
Convocatoria 781 de 2017	1/01/2017	COL0081165	Grupo de Radio e InALámbricas	1/06/2008	Popayán	Cauca	Colombia	Pacífico	19001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	C	2	9
Convocatoria 781 de 2017	1/01/2017	COL0046907	GIFOSABI-UCC:Grupo de Investigación para el fortalecimiento de la salud y el bienestar.	1/01/2002	Bucaramanga	Santander	Colombia	Centro Oriente	68001	3C	Ciencias de la salud	Ciencias médicas y de la salud	C	2	15
Convocatoria 781 de 2017	1/01/2017	COL0072559	Grupo de Simulación del Sistema Climático Terrestre	1/10/2006	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1E	Ciencias de la tierra y medioambientales	Ciencias naturales	Reconocido	0	11
Convocatoria 781 de 2017	1/01/2017	COL0003374	ECONOMÍA Y HUMANISMO	1/06/2001	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5B	Economía y negocios	Ciencias sociales	B	3	16
Convocatoria 781 de 2017	1/01/2017	COL0011948	Historia y Sociología de la Ciencia	1/01/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	6A	Historia y arqueología	Humanidades	A	4	17
Convocatoria 781 de 2017	1/01/2017	COL0007506	Grupo de Parasitología, Universidad de Antioquia	1/07/2000	Medellín	Antioquia	Colombia	Eje Cafetero	5001	3B	Medicina clínica	Ciencias médicas y de la salud	C	2	17
Convocatoria 781 de 2017	1/01/2017	COL0004504	Estrés y Salud	1/01/1996	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5A	Psicología	Ciencias sociales	A	4	21
Convocatoria 781 de 2017	1/01/2017	COL0015043	Productos Naturales Marinos	1/06/1998	Medellín	Antioquia	Colombia	Eje Cafetero	5001	1D	Ciencias químicas	Ciencias naturales	A	4	19
Convocatoria 781 de 2017	1/01/2017	COL0002911	Corporación para la Investigación de la Corrosión	1/11/1994	Piedecuesta	Santander	Colombia	Centro Oriente	68547	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	B	3	23
Convocatoria 781 de 2017	1/01/2017	COL0008076	Grupo de Energía y Termodinámica	1/10/1979	Medellín	Antioquia	Colombia	Eje Cafetero	5001	2C	Ingeniería mecánica	Ingeniería y tecnología	A1	5	38
Convocatoria 781 de 2017	1/01/2017	COL0134053	Grupo de investigación de operaciones de la Universidad Nacional de Colombia: UNGIDO	1/01/2012	Medellín	Antioquia	Colombia	Eje Cafetero	5001	2K	Otras ingenierías y tecnologías	Ingeniería y tecnología	C	2	5
Convocatoria 781 de 2017	1/01/2017	COL0064619	GRIAUCC	1/01/2004	Neiva	Huila	Colombia	Centro Sur	41001	2B	Ingenierías eléctrica, electrónica e informática	Ingeniería y tecnología	B	3	13
Convocatoria 781 de 2017	1/01/2017	COL0076746	Centro de Investigación en Guerra Asimetrica	1/09/2010	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5F	Ciencias políticas	Ciencias sociales	B	3	7
Convocatoria 781 de 2017	1/01/2017	COL0012981	Derecho Internacional y de los Negocios	1/09/1999	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5E	Derecho	Ciencias sociales	C	2	18
Convocatoria 781 de 2017	1/01/2017	COL0031637	Ecuaciones diferenciales parciales	1/08/2002	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1A	Matemática	Ciencias naturales	Reconocido	0	15
Convocatoria 781 de 2017	1/01/2017	COL0046255	Educación superior en salud	1/07/1999	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	3D	Biotecnología en salud	Ciencias médicas y de la salud	C	2	18
Convocatoria 781 de 2017	1/01/2017	COL0096569	Grupo de Investigación en Biotecnología de Microalgas, Fisicoquimica  Aplicada y Estudios Ambientales	1/03/1998	Barranquilla	Atlántico	Colombia	Caribe	8001	1D	Ciencias químicas	Ciencias naturales	C	2	19
